,n1,n2,n3,n4,block_type,time
0,8,9,179,10,1,2.0769968032836914
1,14,13,25,17,1,0.8582000732421875
2,4,15,38,10,1,0.7210149765014648
3,16,13,53,17,1,1.0801866054534912
4,9,16,199,4,1,2.217146396636963
5,6,13,82,4,1,1.1078598499298096
6,17,17,109,8,1,1.5362865924835205
7,10,8,50,16,1,0.92055344581604
8,14,31,44,8,1,1.0503158569335938
9,16,46,176,19,1,2.6493561267852783
10,6,15,214,18,1,2.48873233795166
11,17,7,131,13,1,1.8977158069610596
12,1,12,180,1,1,1.877232313156128
13,8,23,155,13,1,2.0212247371673584
14,19,46,168,7,1,2.4019744396209717
15,17,3,138,18,1,1.8292081356048584
16,15,37,122,15,1,1.9333345890045166
17,16,37,212,2,1,2.5877749919891357
18,20,25,181,17,1,2.4847209453582764
19,2,25,107,10,1,1.4780983924865723
20,10,28,30,16,1,0.9468798637390137
21,3,4,125,20,1,1.521104097366333
22,10,38,51,14,1,1.2126655578613281
23,16,8,214,20,1,2.596579074859619
24,7,22,62,17,1,1.2053513526916504
25,18,38,187,14,1,2.573934316635132
26,11,31,51,11,1,1.130540370941162
27,1,30,85,18,1,1.3701274394989014
28,7,2,14,3,1,0.3562746047973633
29,2,21,31,2,0,0.5021162033081055
30,20,3,34,20,1,0.926245927810669
31,3,17,37,14,1,0.7849264144897461
32,11,3,38,18,1,0.8113532066345215
33,12,7,36,2,0,0.5379331111907959
34,2,39,116,10,1,1.678048849105835
35,1,32,81,7,1,1.226332664489746
36,15,14,214,16,1,2.564863681793213
37,19,2,33,19,1,0.902517557144165
38,15,12,17,19,1,0.7618756294250488
39,8,16,9,15,1,0.5905032157897949
40,7,46,59,6,1,1.2153747081756592
41,15,4,80,2,1,1.0610523223876953
42,10,36,139,18,1,2.045776605606079
43,8,47,14,6,1,0.841759204864502
44,19,34,60,3,1,1.216679573059082
45,4,40,142,20,1,2.0992140769958496
46,2,31,205,1,1,2.3294737339019775
47,14,42,77,7,1,1.5105152130126953
48,6,40,142,20,1,2.0824263095855713
49,16,10,64,1,1,0.9831528663635254
50,7,5,3,12,1,0.38758206367492676
51,16,25,88,20,1,1.604651689529419
52,11,16,34,2,0,0.5792279243469238
53,15,36,12,18,1,0.9373137950897217
54,18,37,89,15,1,1.6638059616088867
55,8,42,104,11,1,1.6888842582702637
56,9,44,28,18,1,1.114821195602417
57,19,7,80,3,1,1.1672656536102295
58,11,9,51,2,1,0.7959835529327393
59,3,3,116,15,1,1.3595654964447021
60,16,27,99,6,1,1.527251958847046
61,15,19,25,19,1,0.9311718940734863
62,17,41,30,12,1,1.1224045753479004
63,18,9,23,5,0,0.5343227386474609
64,14,46,114,11,1,1.8832972049713135
65,9,23,122,3,1,1.5945947170257568
66,14,7,187,1,1,2.0360286235809326
67,13,7,119,5,1,1.4626569747924805
68,7,21,163,14,1,2.0174148082733154
69,5,20,156,6,1,1.837925910949707
70,18,17,29,1,1,0.7617495059967041
71,18,18,184,17,1,2.4015934467315674
72,20,3,19,10,1,0.6618919372558594
73,14,5,187,13,1,2.169346570968628
74,13,10,3,17,0,0.47603344917297363
75,12,2,195,13,1,2.1931965351104736
76,6,26,183,20,1,2.3644838333129883
77,14,40,14,1,1,0.8697519302368164
78,11,10,22,13,0,0.5662112236022949
79,14,20,158,8,1,1.9669649600982666
80,9,6,63,19,1,1.0754318237304688
81,20,3,13,3,0,0.3855769634246826
82,20,37,126,12,1,2.007636070251465
83,2,19,4,20,1,0.5610227584838867
84,13,18,22,4,0,0.5266923904418945
85,9,9,92,20,1,1.3414530754089355
86,16,15,36,14,0,0.7803761959075928
87,11,45,162,5,1,2.194124698638916
88,1,14,84,1,1,0.9915692806243896
89,13,20,16,15,1,0.7744197845458984
90,3,46,64,6,1,1.199030876159668
91,7,30,161,7,1,1.9866037368774414
92,4,22,153,10,1,1.8525323867797852
93,10,17,42,4,1,0.8098311424255371
94,18,7,27,13,0,0.6316769123077393
95,18,10,8,14,0,0.5025792121887207
96,11,37,73,11,1,1.3704969882965088
97,12,26,85,10,1,2.1085681915283203
98,7,3,191,5,1,1.971081256866455
99,20,7,127,5,1,1.6178793907165527
100,2,20,154,10,1,1.8115332126617432
101,2,47,175,18,1,2.411372423171997
102,12,31,46,12,1,1.1305732727050781
103,12,31,164,17,1,2.2443368434906006
104,9,36,95,6,1,1.4856882095336914
105,14,37,68,3,1,1.2608792781829834
106,19,30,113,12,1,1.7840080261230469
107,19,42,24,16,1,1.161376714706421
108,13,37,19,16,1,0.9609537124633789
109,9,23,96,3,1,1.3235607147216797
110,2,18,143,6,1,1.6372761726379395
111,17,28,125,15,1,1.9004406929016113
112,18,13,122,8,1,1.6393229961395264
113,12,37,71,8,1,1.337890863418579
114,5,38,14,13,1,0.7943077087402344
115,8,15,21,9,0,0.5053677558898926
116,5,38,150,12,1,2.0260255336761475
117,16,25,35,3,1,0.8831806182861328
118,6,30,78,15,1,1.3313326835632324
119,14,47,53,20,1,1.433915376663208
120,12,23,109,19,1,1.6769022941589355
121,7,14,13,9,0,0.44168782234191895
122,6,41,36,11,1,0.9991261959075928
123,14,23,17,2,1,0.6521177291870117
124,13,15,182,13,1,2.2092344760894775
125,7,40,43,14,1,1.1278901100158691
126,15,1,14,20,0,0.5739326477050781
127,15,45,73,15,1,1.5776987075805664
128,17,5,210,19,1,2.5313761234283447
129,8,32,135,7,1,6.444450378417969
130,18,35,135,20,1,2.329993963241577
131,18,24,17,15,1,0.9404442310333252
