,n1,n2,n3,n4,block_type,nf,time
0,4,5,16,4,1,176,2.4567387104034424
1,12,11,109,3,1,58,1.400834083557129
2,12,1,52,9,1,68,1.0832417011260986
3,2,15,22,3,1,58,0.4616422653198242
4,1,13,10,10,1,10,0.056975603103637695
5,7,25,16,4,1,149,2.7976791858673096
6,1,3,11,2,0,34,0.08024072647094727
7,12,5,142,7,1,149,8.779510974884033
8,10,7,1,12,0,88,0.7561333179473877
9,9,3,94,9,1,111,3.53791880607605
10,3,25,25,7,1,2,0.06121826171875
11,2,5,17,11,0,1,0.021981000900268555
12,13,5,100,9,1,78,2.109428644180298
13,5,11,17,7,0,162,2.530573844909668
14,2,5,73,8,1,6,0.07650876045227051
15,1,31,28,5,1,162,4.021530389785767
16,10,13,64,9,1,27,0.3958714008331299
17,12,27,28,9,1,2,0.06683731079101562
18,1,1,3,8,0,6,0.053220510482788086
19,12,5,49,13,1,111,2.5687665939331055
20,7,9,139,3,1,1,0.05036616325378418
21,11,29,79,12,1,6,0.10313796997070312
22,9,23,88,5,1,3,0.08358645439147949
23,3,25,49,11,1,41,0.8713879585266113
24,9,27,16,13,1,27,0.3738217353820801
25,11,7,5,9,0,176,2.4628143310546875
26,10,29,70,6,1,27,0.40860700607299805
27,7,15,22,12,1,99,1.6072509288787842
28,13,7,82,7,1,34,0.5317187309265137
29,9,5,136,4,1,50,1.1846494674682617
30,2,4,15,2,0,78,0.3854687213897705
31,2,21,118,11,1,50,1.1640679836273193
32,5,3,79,6,1,88,1.8756000995635986
33,13,1,100,1,1,2,0.056566715240478516
34,9,3,76,11,1,6,0.07192587852478027
35,11,23,127,11,1,2,0.09156195322672527
36,10,3,136,2,1,21,0.4255364735921224
37,4,7,4,6,1,34,0.14534417788187662
38,8,19,139,1,1,41,1.126242717107137
39,10,31,124,13,1,162,14.895259141921997
40,9,17,82,2,1,78,1.9354869524637859
41,7,17,1,9,1,123,1.5169641971588135
42,2,15,100,7,1,50,0.986448605855306
43,2,15,67,2,1,10,0.10607767105102539
44,12,17,23,10,0,68,0.8102074464162191
45,6,31,55,3,1,3,0.046880483627319336
46,11,23,94,13,1,123,5.4239762624104815
47,2,17,13,9,0,3,0.019840240478515625
48,5,11,7,3,1,88,0.6399180094401041
49,4,19,1,8,1,27,0.14320834477742514
